track_id,track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
44,Neon Feelings,Bad Bunny,1,2024,3,13,304,30,57354336,85,G,Minor,55,14,62,27,28,33,17,158,17,99,4,6
45,Golden Skies (Acoustic),Lady Gaga,1,2019,5,7,2325,6,65570146,122,D,Major,28,80,41,75,13,19,23,1145,19,1142,1,5
46,Ocean Story,Zach Bryan,1,2024,3,18,1842,3,68432029,142,C,Major,53,16,31,53,33,12,6,917,0,441,11,3
47,Golden Rivers,Calvin Harris,1,2022,4,20,2561,9,21612441,169,A#,Major,82,66,24,10,20,14,6,1120,0,558,15,6
48,Silver Skies (Live),Ariana Grande,1,2024,9,10,1491,13,68737207,175,D#,Minor,63,68,66,53,46,11,22,491,3,679,6,6
49,Dance Shadows (Live),OneRepublic,1,2019,2,3,1788,17,38584027,150,A#,Minor,26,46,91,39,22,11,38,568,17,658,3,6
50,Neon Times (Acoustic),Tiësto,1,2023,6,4,543,25,50660220,128,C,Major,54,49,58,44,0,16,11,232,17,267,0,9
51,Dreams Moments (Remix),Avicii,1,2019,9,7,1601,23,52202076,100,A,Major,30,44,71,84,27,36,40,636,18,606,1,2
52,Rain Rivers,The Chainsmokers,1,2022,5,22,3105,21,84636649,112,E,Major,37,42,52,41,7,5,33,1218,7,989,1,0
53,Stars Clouds,Luke Combs,1,2020,9,27,5298,5,158859586,169,A,Minor,73,47,29,51,1,25,12,2282,29,2523,20,36
54,Golden Vibes,Diplo,1,2019,7,19,2877,12,63418473,190,A#,Major,87,75,39,44,22,14,17,1614,10,766,5,1
55,Rain Nights,Dua Lipa,1,2023,11,3,1621,18,84933841,140,D,Minor,28,70,71,80,19,22,39,855,14,655,10,10
56,Dreams Eyes,Drake,1,2018,6,27,1199,27,26848374,70,G,Major,61,87,75,64,9,8,30,711,2,461,12,7
57,Dreams Rivers,"Dua Lipa, Shakira",2,2018,12,15,1544,29,68632450,145,C#,Minor,32,81,64,36,16,14,23,594,13,667,1,10
58,Stars Shadows,Harry Styles,1,2023,11,13,1364,30,30110632,194,C#,Minor,85,56,17,46,19,16,15,443,17,426,10,2
59,Summer Moments,"Miley Cyrus, Tiësto, Doja Cat",3,2021,2,17,3142,43,140298972,101,D,Major,76,15,67,46,43,20,30,1768,39,751,24,9
60,Electric Times,Diplo,1,2021,8,27,1657,30,29039302,188,G#,Minor,40,35,92,17,16,8,43,780,14,560,9,6
61,Heart Rivers (Acoustic),"Calvin Harris, Avicii",2,2019,3,9,3718,28,145633420,161,G#,Minor,50,59,25,47,14,6,22,2026,22,1781,26,3
62,Wild Moments,"Dua Lipa, Lil Baby",2,2021,8,23,2571,15,41459694,115,D,Minor,34,46,45,38,7,8,17,1117,0,1212,0,4
63,Ocean Streets,Maroon 5,1,2023,8,20,1350,4,41879316,166,D,Major,87,56,23,67,34,37,34,522,0,518,7,9
64,Neon Memories,Daft Punk,1,2024,5,24,1550,2,9677059,71,F,Minor,42,69,76,80,11,13,6,625,20,358,10,2
65,Night Eyes,"Metro Boomin, Marshmello",2,2023,1,11,3009,8,50736655,144,E,Major,67,65,66,56,24,26,13,935,20,774,11,0
66,Golden Rivers,David Guetta,1,2019,7,3,2178,26,75588968,135,E,Minor,74,31,71,44,28,7,24,771,9,645,2,5
67,Dreams Clouds,"Diplo, Travis Scott, J. Cole, Drake",4,2023,11,6,722,1,8546153,158,A,Major,39,67,62,47,28,9,38,243,7,313,11,5
68,Midnight Lights,Ariana Grande,1,2020,2,1,1034,12,33600945,114,A,Minor,82,35,30,17,4,33,13,593,3,288,8,7
69,Dreams Lights,Metro Boomin,1,2023,9,18,3396,29,96946301,111,D,Major,83,13,61,70,36,28,31,1732,5,1487,7,1
70,Dreams Vibes,Daft Punk,1,2024,12,16,1077,13,68687841,78,G,Minor,86,54,31,70,40,16,10,589,2,255,10,10
71,Night Feelings,OneRepublic,1,2021,3,11,3251,27,31530149,137,A,Major,84,92,36,75,37,14,12,1052,6,1269,8,2
72,Ocean Lights (Deluxe),Lil Baby,1,2018,1,3,1313,24,39901106,67,G,Minor,58,71,46,87,25,24,31,621,20,345,13,9
73,Fire Streets,Ed Sheeran,1,2022,6,20,1498,27,21958522,87,F,Major,79,25,49,57,15,14,8,604,12,358,11,8
74,Midnight Dreams,Drake,1,2024,3,27,993,40,124595536,187,E,Minor,22,21,65,64,29,20,15,354,10,347,32,29
75,Night Eyes,Zedd,1,2024,11,22,2416,4,52993996,162,C,Major,66,80,51,9,24,37,30,1364,11,1036,11,0
76,Ocean Dreams,Chris Stapleton,1,2024,7,12,2099,11,57956159,70,C,Major,37,52,75,66,29,14,40,1105,6,799,12,8
77,Ocean Lights,Tiësto,1,2024,12,27,1073,15,55203025,144,A#,Major,73,84,54,88,40,6,40,550,9,367,0,5
78,Silver Roads,Calvin Harris,1,2019,8,6,2379,19,93305932,88,D#,Major,76,50,68,19,26,18,28,1266,12,581,7,0
79,Night Moments,"Tiësto, Calvin Harris",2,2022,11,16,3078,17,65653557,183,D#,Major,55,81,53,28,19,23,15,1239,11,1239,8,9
80,Neon Shadows,"21 Savage, Adele",2,2024,12,9,1572,21,28526384,70,E,Major,64,66,98,32,47,35,15,727,12,700,4,4
81,Velvet Ways,"Doja Cat, Rihanna",2,2023,10,8,2136,7,22748695,95,C,Major,72,93,75,61,41,17,20,674,13,638,15,1
82,Night Vibes,Adele,1,2020,12,24,1527,5,31957870,186,D,Minor,24,11,53,72,38,11,23,649,5,733,1,6
83,Velvet Rivers,Rihanna,1,2024,9,15,2125,14,29966997,109,D,Minor,74,75,56,11,25,11,13,1050,5,433,10,4
84,Summer Story,Ariana Grande,1,2020,5,11,2363,18,54682345,90,G,Minor,40,61,79,90,49,24,9,717,20,727,7,0
85,Ocean Times,"Kanye West, Rihanna, Lady Gaga",3,2020,3,15,1652,24,74124514,174,G#,Minor,29,82,29,7,35,37,14,761,6,707,2,8
86,Fire Lights (Live),Avicii,1,2019,4,23,365,28,83622823,74,G#,Minor,59,12,65,32,0,18,39,165,1,122,13,7
87,Golden Vibes,Ed Sheeran,1,2019,2,16,1750,20,10346617,174,F#,Minor,30,94,84,17,41,27,9,1038,20,855,11,6
88,Summer Story (Acoustic),"Justin Bieber, Maroon 5, Kygo, Ariana Grande",4,2022,12,18,2597,26,67333528,88,C,Minor,22,40,41,8,6,7,30,958,14,789,8,3
89,Night Times (Live),Skrillex,1,2022,9,7,2074,29,10556963,137,D,Major,72,48,50,7,35,16,42,1077,10,774,10,3
90,Neon Memories (Live),Future,1,2023,6,23,2035,9,55982657,96,G,Major,91,62,68,71,33,13,26,840,17,696,7,4
91,Wild Vibes (Acoustic),Beyoncé,1,2019,12,27,1029,1,19037586,113,F,Minor,21,37,39,15,47,35,17,578,6,454,6,7
92,Rain Clouds (Deluxe),21 Savage,1,2021,5,13,3080,11,73199343,85,B,Minor,60,36,62,40,26,7,38,1208,11,1089,15,7
93,Dance Skies (Deluxe),"SZA, The Weeknd",2,2023,5,5,797,15,27861549,185,G,Major,65,31,32,69,31,16,36,370,10,220,15,10
94,Dreams Memories (Live),"J. Cole, Martin Garrix, Bad Bunny",3,2020,11,8,2661,0,25218265,184,C,Major,88,80,67,1,1,38,19,972,14,830,15,10
95,Sunset Nights,"Kygo, The Weeknd, Tiësto, Metro Boomin",4,2019,3,8,1898,25,40934240,122,B,Major,58,20,98,83,48,7,7,795,11,925,14,9
96,Velvet Hills,Imagine Dragons,1,2018,3,3,3909,42,134468358,114,B,Minor,54,15,24,87,17,39,38,1836,6,1831,2,14
97,Wild Story (Deluxe),Lil Baby,1,2020,12,27,2474,72,143556218,158,B,Major,30,74,59,6,6,32,16,1361,24,997,34,21
98,Ocean Dreams,Ed Sheeran,1,2023,1,21,3294,14,70973752,107,A#,Minor,30,89,52,31,45,9,7,1473,11,1205,12,6
99,Stars Clouds,Travis Scott,1,2019,1,10,2001,5,55574655,66,C#,Minor,90,21,91,76,50,25,26,859,17,733,13,1
100,Midnight Vibes (Deluxe),Taylor Swift,1,2024,4,19,2421,12,49874265,76,D,Minor,55,63,53,61,50,9,25,849,8,702,15,2
101,Neon Dreams,"Kendrick Lamar, Luke Combs, J. Cole",3,2022,3,10,1283,25,27070576,142,A,Major,81,50,37,50,20,23,42,716,14,385,4,4
102,Midnight Ways (Live),"David Guetta, Beyoncé, Adele",3,2021,10,7,8114,23,396822578,113,G,Minor,28,62,78,17,40,24,17,4093,35,1688,29,45
103,Sunset Clouds,Kendrick Lamar,1,2024,8,19,3679,13,64405811,123,A#,Minor,41,92,93,5,36,30,23,1703,11,1510,2,1
104,Heart Ways,OneRepublic,1,2023,9,19,1304,11,58125357,66,G,Major,57,63,25,14,46,14,24,544,18,530,4,5
105,Rain Rivers,Bruno Mars,1,2022,8,24,1573,3,53472015,192,D,Major,62,81,69,59,14,30,42,482,10,620,5,3
106,Sunset Clouds,Justin Bieber,1,2023,4,15,3864,0,78229126,86,G#,Major,66,51,40,58,7,21,44,1976,6,1095,2,9
107,Wild Dreams,David Guetta,1,2021,2,12,1142,22,99895097,90,D#,Minor,34,33,62,88,9,37,26,616,19,430,4,5
108,Silver Clouds,Maroon 5,1,2022,9,23,1876,22,220211063,175,A,Major,65,11,77,17,12,29,37,875,31,537,11,20
109,Sunset Hills,Tiësto,1,2023,8,6,1860,1,22267726,186,G#,Major,93,24,49,69,23,39,4,711,17,533,14,9
110,Rain Waves,"Chris Stapleton, Kygo",2,2023,4,10,1187,11,12867996,113,B,Minor,74,31,93,17,50,18,15,663,2,393,3,3
111,Velvet Ways,Drake,1,2020,12,10,2949,28,52100693,130,A#,Major,36,41,33,41,15,30,33,1485,3,709,13,0
112,Dance Waves,Post Malone,1,2019,2,13,2255,47,112760982,83,B,Minor,65,18,83,50,13,32,15,984,31,672,0,49
113,Forever Lights,David Guetta,1,2020,8,26,2645,58,112113831,111,B,Major,58,30,50,11,41,28,18,806,10,879,0,27
114,Fire Memories,Harry Styles,1,2021,12,25,1634,2,36200210,117,G#,Minor,21,11,58,15,27,13,32,835,0,431,2,2
115,Dreams Feelings,Ed Sheeran,1,2021,5,5,2424,21,91431529,149,B,Major,39,62,93,87,28,18,7,831,16,894,5,7
116,Heart Roads (Acoustic),Dua Lipa,1,2024,6,26,1335,20,19844622,137,D#,Major,70,47,97,6,50,20,33,434,17,507,9,0
117,Neon Dreams,Coldplay,1,2024,1,12,2414,11,31189912,77,C,Minor,47,15,22,50,32,23,42,1119,5,1035,2,0
118,Sunset Waves (Remix),Metro Boomin,1,2023,9,20,1034,9,21852764,143,F#,Major,59,65,45,7,15,10,29,334,6,509,4,8
119,Ocean Memories,BTS,1,2023,12,6,1696,15,13236879,155,D,Minor,35,13,57,54,17,38,6,993,16,602,8,2
120,Dreams Hills,"Kendrick Lamar, Zedd",2,2021,8,28,2128,5,53521449,190,C,Major,21,41,20,60,23,29,11,801,3,996,3,3
121,Sunset Times,"Justin Bieber, Bad Bunny, Avicii",3,2022,12,11,1860,21,77305288,77,G,Minor,59,51,26,70,29,5,25,1061,5,496,1,6
122,Forever Dreams,Doja Cat,1,2021,8,25,1824,17,49959969,119,G#,Minor,21,52,15,84,24,24,8,963,7,447,13,0
123,Summer Waves,Olivia Rodrigo,1,2019,3,23,3097,16,26874502,84,G#,Major,70,19,90,72,3,32,44,1312,11,1045,2,9
124,Dance Lights (Live),Ariana Grande,1,2023,12,11,1175,7,47520682,87,D,Minor,79,50,67,15,34,27,15,378,6,282,3,2
125,Dance Feelings,The Chainsmokers,1,2023,5,27,2342,2,47983607,136,E,Major,23,61,72,71,47,40,17,1202,11,746,1,10
126,Stars Feelings,Dua Lipa,1,2023,4,5,1462,11,60632528,65,C#,Major,76,26,26,42,7,7,31,739,20,329,8,1
127,Silver Waves (Live),Drake,1,2022,7,22,2030,8,42140612,135,G,Minor,90,71,22,11,17,29,10,880,4,427,7,10
128,Crystal Times,Maroon 5,1,2023,1,13,2558,25,54448070,106,C,Minor,48,13,50,7,30,38,24,1139,18,897,12,4
129,Summer Nights,Zach Bryan,1,2023,5,18,2626,25,25603983,67,B,Minor,92,82,33,72,12,36,36,1093,5,663,10,5
130,Night Vibes,Bruno Mars,1,2023,1,17,1555,29,37111099,75,C,Major,95,28,29,67,23,9,25,752,4,469,5,5
131,Heart Lights,"Metro Boomin, Imagine Dragons, Zedd",3,2020,3,24,3999,22,106131519,151,D#,Major,68,49,52,16,11,5,38,2048,35,1631,39,50
132,Night Nights,"Imagine Dragons, Zedd",2,2024,10,8,2156,63,101198875,102,A#,Major,62,67,16,33,13,20,6,737,47,481,22,20
133,Heart Story,Shakira,1,2022,7,6,1352,3,62482873,175,C#,Major,57,12,55,33,6,9,23,741,18,534,7,2
134,Dreams Skies (Remix),"Billie Eilish, Justin Bieber",2,2021,10,16,2187,20,12408201,112,D#,Minor,90,79,48,84,18,24,17,764,13,540,3,5
135,Silver Skies (feat. DJ),Dua Lipa,1,2019,1,14,1187,6,15942582,181,C#,Minor,70,70,77,84,16,10,43,390,6,298,9,1
136,Golden Clouds,Kygo,1,2022,5,15,1083,26,50969056,148,G#,Minor,95,39,85,7,24,38,28,412,1,265,3,1
137,Neon Roads (Live),Kygo,1,2021,7,28,2597,21,14146659,102,D#,Major,36,15,69,10,43,32,14,1544,4,613,14,2
138,Ocean Ways,Kanye West,1,2023,2,3,1244,17,64687263,193,F#,Major,73,29,33,72,37,11,8,494,8,442,0,9
139,Velvet Shadows (Acoustic),"Avicii, Rihanna",2,2021,8,19,2798,19,85045726,72,B,Minor,54,57,17,43,50,24,21,1350,12,592,10,3
140,Heart Times,"Travis Scott, Metro Boomin",2,2024,8,25,2549,13,37638682,184,G#,Minor,27,75,35,8,19,37,27,1227,2,653,6,6
141,Silver Story,"Ariana Grande, Kygo",2,2024,4,27,224,22,12260574,91,A#,Major,50,57,77,76,28,16,32,80,11,100,12,10
142,Golden Nights (Acoustic),Zedd,1,2023,12,3,2173,1,25026229,117,A#,Major,54,93,67,65,1,5,32,758,18,942,6,3
143,Ocean Story,Ariana Grande,1,2023,5,23,3542,14,68805715,86,C,Minor,91,92,91,77,18,24,45,1330,14,1029,12,9
144,Wild Ways,Dua Lipa,1,2024,5,21,1159,4,71776300,141,A#,Major,23,93,78,37,16,31,27,527,7,544,12,10
145,Silver Days,"Coldplay, Skrillex",2,2023,11,18,4429,64,145846378,135,C#,Minor,36,43,86,23,43,26,43,1727,10,2002,35,11
146,Summer Eyes,Harry Styles,1,2024,6,9,1437,27,64863332,109,G#,Major,68,77,53,52,3,14,10,481,1,660,2,7
147,Silver Streets,Doja Cat,1,2024,3,25,1409,20,19715241,100,G,Major,36,88,70,81,27,30,29,447,14,397,5,9
148,Night Skies,Calvin Harris,1,2021,1,11,1651,21,52093113,93,C#,Minor,84,85,54,21,4,7,21,497,7,442,11,4
149,Crystal Dreams,Rihanna,1,2022,11,5,1291,21,235457582,93,D#,Major,95,74,36,15,23,7,26,754,25,265,14,46
150,Velvet Dreams,Kanye West,1,2024,11,4,3296,6,166686235,124,G,Major,46,90,16,38,26,11,44,1670,26,1098,7,35
151,Ocean Moments,Martin Garrix,1,2024,9,24,2334,6,54211423,164,E,Major,25,80,78,26,44,35,23,1126,8,1049,6,5
152,Dreams Feelings (Live),Beyoncé,1,2020,2,25,2175,23,43432037,127,G,Major,32,32,20,37,23,25,29,718,8,855,14,4
153,Night Story (feat. DJ),Luke Combs,1,2021,8,20,3833,5,87656910,182,F#,Major,34,26,22,20,6,31,39,1280,12,1873,8,6
154,Electric Nights,"Calvin Harris, 21 Savage",2,2023,10,1,2471,15,25881634,140,C,Major,63,76,81,88,44,11,29,825,13,820,2,4
155,Golden Clouds,"Lil Baby, Calvin Harris",2,2023,10,2,2340,27,13730128,121,F,Minor,26,74,43,70,41,29,27,1050,5,520,15,5
156,Electric Roads,Beyoncé,1,2024,8,11,3810,23,81188548,200,C,Major,58,75,86,26,41,34,23,1889,3,1223,1,8
157,Electric Lights,"Lady Gaga, SZA",2,2023,8,23,1890,21,78657598,193,F,Major,25,31,78,17,45,31,8,692,10,579,9,8
158,Rain Feelings (Live),Kendrick Lamar,1,2020,4,23,1915,13,31886424,177,A#,Major,83,10,82,6,35,32,39,601,20,864,3,7
159,Silver Nights (feat. DJ),"Calvin Harris, Justin Bieber, Metro Boomin",3,2019,11,20,1976,31,176197307,95,F#,Minor,90,50,85,80,13,17,15,754,21,970,28,8
160,Golden Moments (feat. DJ),"Diplo, 21 Savage",2,2022,12,21,2183,24,70638334,196,E,Minor,21,76,28,3,24,14,5,885,15,818,13,10
161,Dance Nights (Acoustic),Lil Baby,1,2020,1,23,1158,14,32352938,190,B,Minor,26,58,64,53,50,25,37,383,17,532,12,3
162,Dance Days,Drake,1,2023,8,27,2125,22,85232911,135,G,Major,29,33,37,65,7,29,4,1089,11,906,6,3
163,Dance Moments,OneRepublic,1,2023,1,11,2781,10,96147955,200,F,Major,60,77,43,23,33,9,34,1332,20,1069,9,7
164,Velvet Clouds,Billie Eilish,1,2020,4,22,2285,9,41892862,148,G,Major,51,15,56,48,50,12,26,835,19,820,0,1
165,Forever Story (Acoustic),Kendrick Lamar,1,2022,9,15,2297,16,39921120,76,D#,Major,74,23,41,68,44,32,43,745,3,574,0,10
166,Love Streets (Remix),"Ed Sheeran, Billie Eilish",2,2019,1,6,1652,18,45756755,163,F#,Minor,22,59,30,68,0,9,39,902,8,532,14,10
167,Golden Rivers,"Bad Bunny, Harry Styles",2,2023,5,20,2237,26,15568428,160,G#,Minor,38,48,97,47,0,40,37,1114,15,552,7,2
168,Love Roads,Post Malone,1,2022,2,10,1686,28,54221172,107,D#,Minor,44,24,38,85,36,8,37,872,6,545,4,2
169,Dreams Eyes,Marshmello,1,2021,4,24,2093,20,83110841,184,G,Minor,59,84,34,72,36,28,22,775,9,807,6,5
170,Wild Times (Live),OneRepublic,1,2021,6,5,3000,59,103654782,104,A#,Major,55,27,83,25,16,9,6,1300,49,874,35,6
171,Love Roads,"The Weeknd, J. Cole",2,2023,4,2,2907,20,58932173,178,G#,Major,70,56,79,1,42,20,41,1548,11,923,9,2
172,Crystal Moments,Future,1,2020,10,22,1322,15,41106210,76,E,Minor,49,15,41,66,50,28,26,769,1,351,15,3
173,Wild Feelings (Deluxe),"Calvin Harris, Bad Bunny, Lil Baby",3,2023,5,27,1288,12,48795129,124,F#,Major,86,61,60,44,31,35,40,527,20,604,2,8
174,Stars Streets,Taylor Swift,1,2019,11,9,1445,5,23361242,89,G,Minor,81,36,90,20,41,31,3,590,3,575,13,5
175,Silver Roads,Beyoncé,1,2023,1,19,1638,30,15995617,115,G,Minor,81,31,43,52,38,14,39,690,18,640,9,1
176,Crystal Ways,Zach Bryan,1,2023,8,20,2489,12,48879075,84,D,Minor,24,78,79,15,5,35,44,1034,3,510,13,2
177,Sunset Rivers,"Ariana Grande, Daft Punk, Taylor Swift",3,2024,12,17,2400,12,45530948,182,D#,Major,56,86,84,52,16,17,2,972,18,550,4,4
178,Silver Rivers,"Metro Boomin, Taylor Swift",2,2018,11,7,645,3,44563323,168,A,Minor,55,60,41,52,35,40,32,223,20,242,8,8
179,Velvet Hills,Justin Bieber,1,2021,6,25,3236,23,88006229,200,A,Major,40,59,96,0,5,14,32,1193,5,744,12,5
180,Dreams Ways,Skrillex,1,2019,1,24,1556,51,140372863,104,A#,Minor,76,11,40,84,33,23,14,753,33,444,38,3
181,Crystal Times,"Bad Bunny, Martin Garrix",2,2023,6,8,3472,24,48976343,63,B,Major,31,80,51,71,37,27,24,1457,12,1116,6,8
182,Rain Streets (Deluxe),Travis Scott,1,2018,3,14,4156,2,44822646,124,B,Minor,68,82,76,31,48,26,31,1874,10,2011,8,8
183,Silver Story,Future,1,2021,7,21,2083,30,49601556,133,C#,Minor,63,19,85,22,30,25,24,845,17,422,8,3
184,Fire Days,"Olivia Rodrigo, Rihanna",2,2020,12,8,2420,6,29856716,80,A#,Minor,20,79,20,61,23,25,33,1332,19,742,3,1
185,Fire Rivers,"Avicii, David Guetta",2,2020,10,5,268,1,17221481,90,B,Minor,60,11,16,86,13,29,39,120,12,122,5,7
186,Ocean Ways,Dua Lipa,1,2021,5,16,3196,5,71997080,162,E,Minor,43,83,31,73,43,19,8,1437,6,1041,11,5
187,Summer Skies,Morgan Wallen,1,2021,3,26,2521,4,27877347,136,E,Major,70,22,35,7,13,21,32,1509,20,895,10,7
188,Wild Ways,Kanye West,1,2022,5,12,1649,11,10810371,150,F,Minor,77,20,63,78,18,34,42,923,19,428,5,4
189,Wild Waves,"Post Malone, J. Cole",2,2022,2,3,1352,22,24781363,193,G,Minor,41,33,17,16,46,20,44,514,20,430,14,5
190,Dreams Days,"Kendrick Lamar, Metro Boomin, Chris Stapleton",3,2019,2,16,2994,24,44888742,159,E,Major,51,46,71,80,8,13,35,1254,2,692,4,1
191,Golden Lights (Live),Billie Eilish,1,2024,9,9,3610,5,74621363,196,E,Minor,81,79,44,11,28,24,25,1722,14,1405,13,8
